address,pred-POI,truth-POI,pred-building,truth-building,pred-unit,truth-unit,pred-floor,truth-floor,pred-room,truth-room
华南物流跨境电商大楼 (3楼青桐世界科技318室),华南物流跨境电商大楼,华南物流跨境电商大楼,,,,,3楼,3楼,318,318室
69号公寓 (简上村69栋1006),6公寓简上村),69号公寓 (简上村),69栋,69栋,,,10,10,1006,1006
骏泰工业厂区 (进园区右转楼梯拐进来1栋106),骏泰工业厂区,骏泰工业厂区,1栋,栋,,,,1,106,106
和诚大厦 (美食街北四巷8号(和诚大厦a栋)502),和诚大厦 (美食街北四巷8号(和诚大厦)),和诚大厦 (美食街北四巷8号),a栋,a栋,,,5,5,502,502
润达圆庭 (g栋5c),润达圆庭,润达圆庭 ,g栋,g栋,,,5,5,c,c
星河world2期 (d栋18楼18d),星河world2期,星河worl2期,d栋,d栋,,,18楼,18楼,18d,d
和磡村 (八巷六号榕寓放前台),和磡村 (八巷六号榕寓放前台),和磡村 (八巷六号榕寓放前台),,,,,,,,
坂田1970文创园-2栋 (坂田1970科创园2栋206),坂田90文创园,坂田1970文创园,栋,栋,,,172,2,206,206
金地上塘道花园-5栋 (一期5栋2单元13e),金地上塘道花园一,金地上塘道花园,5栋,5栋,2单元,2单元,13,13,e,e
万科星火online (7栋140 (放前台即可)),万科星火online,万科星火online,7栋,7栋,,,1,1,140,140
深圳市公安局龙岗分局 (德政路6号大门口),深圳市公安局龙岗分局 (德政路6号大门口),深圳市公安局龙岗分局 (德政路6号),,,,,,,,
日出印象1期 (民治日出印象花园a区9栋2单元503),民治日出印象花园a区,日出印象1期,9栋,9栋,2单元,2单元,5,5,503,503
乐溪大厦 (622),乐溪大厦,乐溪大厦 ,,,,,6,6,622,622
合正观澜汇 (1期f栋803号),合正观澜汇 (1期),合正观澜汇1期,f栋,f栋,,,8,8,803号,803
卓越皇后道-1号楼 (1b7a),卓越皇后道,卓越皇后道,1号楼1b,1号楼,,b,7,7,a,a
龙光·玖钻3c (3c栋1805房),龙光·玖钻,龙光·玖钻,3c栋,3c栋,,,18,18,1805房,1805
龙光玖钻(装修中) (2b2003),龙光玖钻(装修中),龙光玖钻,2b,2b,,,20,20,2003,2003
南贤商业广场b座商务楼-东北门 (1701 深圳欧尔法arfa),南贤商业广场东北门,南贤商业广场商务楼-东北门,b座,b座,,,17,17,1701,1701
商务中心中期-5a座 (龙光玖钻商务中心5a栋8楼810),商务中心中期龙光玖钻商务中心,龙光玖钻商务中心,5a栋,5a栋,,,8,8,810,810
龙悦居1期 (d栋3304号),龙悦居1期,龙悦居1期,d栋,d栋,,,33,33,3304,3304号
沙元埔-26号楼 (深圳市龙华区民治街道沙元埔26栋1404号房),深圳市龙华区民治街道沙元埔,深圳市龙华区民治街道沙元埔,26栋,26栋,,,14,14,1404号,1404
太阳雨家园1栋a座彩云阁 (10楼10a),太阳雨家园,太阳雨家园(),1栋a座,1栋座,,,10楼,10,0a,a
特发·和平里(1期)-a号楼 (a栋612),特发·和平里(1期),特发·和平里(1期,a号栋,a号楼,,,6,6,612,612
龙泽苑-b栋 (2楼物业管理中心),龙泽苑,龙泽苑,b栋,b栋,,,2楼,2,,
龙悦居4期 (10a栋1810),龙悦居4期,龙悦居4期 ,10a栋,10a栋,,,18,18,1810,1810
香林世纪华府(东北1门) (1-2-806),香林世纪华府(东北1门),香林世纪华府(东北门),,1,2,2,8,8,806,806
悦澜山花园-6b栋 (22d),悦澜山花园,澜山花园,6b栋,6b栋,,,22,22,d,d
星河worldc座 (星河world c座 32层),星河world,星河world ,c座,c座,,,32层,32层,,
源创-空间 (深圳市龙华区民治街道布龙路明珠支路源创空间南区1栋218室),深圳市龙华区民治街道布龙路明珠支路源创空间南区,深圳市龙华区民治街道布龙路明珠支路源创空间南区,1栋,1栋,,,2,2,218室,218
四季花城紫荆苑-y座 (402房),四季花城紫荆苑,四季花城紫荆苑,y座,y座,,,4,4,402房,402
潜龙鑫茂花园a区-5栋 (潜龙鑫茂花园a5栋2单元8d),潜龙鑫茂花园a区,潜龙鑫茂花园a区,5栋,a5栋,2单元,2单元,8,8,d,d
本丰写字楼 (7楼),本丰写字楼,本丰写字楼,,,,,7,7楼,,
星河world tower e (1508),星河world towr,星河world towr,ee,e,,,15,15,1508,1508
润达圆庭 (龙华区润达圆庭a座1514),区,润达圆庭 (龙华区润达圆庭),a座,a座,,,15,15,1514,1514
星河worldb座 (10楼),星河world,星河world,b座,b座,,,10,10楼,,
潜龙鑫茂花园a区-6栋 (4单元6e),潜龙鑫茂花园a区,潜龙鑫茂花园a区,栋,栋,4单元,4单元,6,6,e,e
云天泰公寓(龙华店) (龙华区明治街道上塘西头老村37栋(小卖部)云天泰公寓603),云天泰公寓龙华,龙华区明治街道上塘西头老村,37栋,37栋,,,6,6,603,603
永香百货 (广东省深圳市龙岗区坂田街道永香路永香超市6巷1号311),广东省深圳市龙岗区坂田街道永香路永香超市6巷1号,龙岗区坂田街道永香路永香超市6巷1号,,,,,3,3,311,311
滢水山庄二区-北2门 (2栋4单元207),滢水山庄二区-北2门,滢水山庄二区-北门,2栋,2栋,单元,4单元,4,2,207,207
名媛俪人美甲美睫护肤(雅宝店) (名媛丽人),名媛俪人美甲美睫护肤(雅宝店) (名媛丽人),名媛俪人美甲美睫护肤(雅宝店),,,,,,,,
深港驾校训练场(吉祥店) (车牌5117),深港驾校训练场(吉祥店),深港驾校训练场(吉祥店),,,,,51,,5117,
优城商务大厦 (北区写字楼b座1703室),优城商务大厦 (北区写字楼),优城商务大厦 (北区写字楼),b座,b座,,,17,17,1703室,1703
坂田创意园y1 (y1-4f-16),坂田创意园,坂田创意园,y1,y1,,,4,4f,f16,16
向荣商务大厦(西南门) (9003),向荣商务大厦(西南门),向荣商务大厦(西南门) ,,,,,90,90,9003,9003
鑫海公寓-a栋 (龙华区梅龙公路127号鑫海公寓a413),鑫海公寓(龙华区梅龙公路127号鑫海公寓),龙华区梅龙公路127号鑫海公寓,a栋,a栋,,,4,4,413,413
星河worldc座 (28楼),星河world,星河world,c座,c座,,,28,28楼,,
第一住院楼 (5楼5床),第一住院楼,第一住院楼,,,,,5,5,,5
星河world二期-dd栋,星河world二期,星河world二期,dd栋,d栋,,,,,,
茶百道(maxcity店) (42号103),茶百道(maxcity店),茶百道(maxcity店),4,,,,1,1,103,103
星河领创天下 (星河领创天下),星河领创天下 (星河领创天下),星河领创天下 ,,,,,,,,
远洋新干线2期 (君域花园6c栋2单元23b),远洋新干线2期 (君域花园),远洋新干线2期,6c栋,6c栋,2单元,2单元,23,23,b,b
横岭村三区-1号楼 (鹏城青年驿站808),横岭村三区鹏城青年驿站),横岭村三区(鹏城青年驿站),1号楼,1号楼,,,8,8,808,808
城市山海·鼎汇 (2楼213室),城市山海·鼎汇,城市山海·鼎汇,,,,,2楼,2,213室,213
润达圆庭-d栋 (润达圆庭d座9d),润达圆庭,润达圆庭,栋,d座,,,9,9,d,d
u创谷-东北门 (8楼 d821(不要走正门从菜市场电梯上8楼)),u创谷-东北门,u创谷-东北门,,,,,8楼,8楼,21,d821
阳光第五季 (阳光第五季赏菊阁2单元16c),阳光第五季光赏菊阁,阳光第五季赏菊阁,,,2单元,2单元,16,16,c,c
乐溪公寓 (1324),乐溪公寓,乐溪公寓 ,,,,,13,13,1324,1324
荣超英隆大厦-a座 (1楼招商银行),荣超英隆大厦,荣超英隆大厦,a座,a座,,,1楼,1,,
山水时尚酒店(深圳坂田店) (3楼315),山水时尚酒店(深圳坂田店),山水时尚酒店(深圳坂田店),,,,,3楼,3,315,315
星河丹堤 (e3栋2单元2401(从地下车库进来，放家门口别按门铃，谢谢)),星河丹堤,星河丹堤,e3栋,e3栋,2单元,,24,,2401,2401
雅园日租公寓 (853),雅园日租公寓,雅园日租公寓 ,,,,,8,8,853,853
黄阁坑白灰围村-东区 (东二巷8号6楼601),黄阁坑白灰围村-东区 (东二巷8号),黄阁坑白灰围村-东区,,8号,,,6,6,601,601
竹苑大厦 (1606),竹苑大厦,竹苑大厦 ,,,,,16,16,1606,1606
深圳民康高级公寓 (a栋a1809),深圳民康高级公寓,深圳民康高级公寓 ,a栋,a栋,,,18,18,1809,1809
明日星艺术幼儿园(利金城华侨新村公寓南) (利金城华侨新村12号别墅),明日星艺术幼儿园(利金城华侨新村公寓南),明日星艺术幼儿园(利金城华侨新村公寓南) (利金城华侨新村12号别墅),,,,,,,,
龙塘新村-13栋 (展润公寓1座  905 ),龙塘新村(展润公寓),龙塘新村 (展润公寓1座),1座,13栋,,,9,9,905,905
祥昭大厦-宿舍楼 (宿舍地址：大浪街道福龙路旁祥昭物流园宿舍1002),祥昭大厦大浪街道福龙路旁祥昭物流园宿舍,大浪街道福龙路旁祥昭物流园宿舍,宿舍楼,,,,10,,1002,1002
星光之约花园 (1栋双子座103),星光之约花园,星光之约花园,1栋,栋,,,,1,103,103
天景山庄 (东区17栋301),天景山庄),天景山庄,17栋,17栋,,,3,3,301,301
万科星火online (7栋138-140),万科星火online,万科星火online ,7栋,7栋,,,1,,138-140,138-140
郭府樟坑一区 (郭府樟坑一区173栋1403),郭府樟坑一区,郭府樟坑一区 ,173栋,173栋,,,14,14,1403,1403
鸿荣源.天俊公寓-d栋 (4312),鸿荣源.天俊公寓,鸿荣源.天俊公寓,d栋,d栋,,,43,,4312,4312
龙光玖钻-5栋 (龙光玖钻商务中心中期5a座a2506),龙光玖钻商务中心中期,龙光玖钻商务中心中期,5a座,5a座,,,25,25,2506,a2506
深圳美景酒店 (美景酒店818房间),深圳美景酒店,深圳美景酒店,,,,,8,8,818,818房
金地龙城中央3期(建设中) (3期c座3405),金地龙城中央3期(建设中),金地龙城中央3期(建设中)3期,c座,c座,,,34,34,3405,3405
深圳市梅花山庄 (欣梅园f20),深圳市梅花山庄 (欣梅园),深圳市梅花山庄,f,f,,,20,,,20
莎邦贝港式茶餐厅(万科天誉店) (莎邦贝),莎邦贝港式茶餐厅(万科天誉店) (莎邦贝),莎邦贝港式茶餐厅(万科天誉店),,,,,,,,
深圳市龙华区和平实验小学 (和平实验南门),深圳市龙华区和平实验小学 (和平实验南门),深圳市龙华区和平实验小学,,,,,,,,
星河world2期d栋-13单元 (龙华区梅坂大道星河world2期d栋13b),星河world2期,星河world2期,d栋,d栋,单元,单元,1313,13,b,b
太阳雨 (彩云阁703),太阳雨,太阳雨 (彩云阁),,,,,7,7,703,703
星河银湖谷3-b栋 (3b2306),星河银湖谷,星河银湖谷3,3-b栋,b栋,,,23,23,2306,2306
乔安安防产业园 (到a栋一号电梯给我打电话，我给按上来),乔安安防产业园,乔安安防产业园 ,a栋,a栋,,,,,,
星河领创天下 (自在必得fosho),星河领创天下 (自在必得o,星河领创天下 (自在必得fosho),,,,,,,,
春华四季园 (2栋3b),春华四季园,春华四季园 ,2栋,2栋,,,3,3,b,b
四喜棋牌 (到了打电话，没接放前台),四喜棋牌,四喜棋牌 ,,,,,,,,
air game网咖(龙华店) (85),air game网咖(龙华店),air game网咖(龙华店) (85),,,,,,,85,
华南物流跨境电商大楼 (412号(鲸仓)),华南物流跨境电商大楼,华南物流跨境电商大楼 ,,,,,4,4,412号,412
龙光·玖钻 (南区4d1231室),龙光·玖钻 (南区),龙光·玖钻 (南区),4d,4,,d,12,12,1231室,1231室
佳华领汇广场king公馆 (1907),佳华领汇广场king公馆,佳华领汇广场king公馆 ,,,,,19,19,1907,1907
吉祥来花园祥寿阁 (1004),吉祥来花园祥寿阁,吉祥来花园祥寿阁,,,,,10,,1004,1004
东边老村-46栋 (8楼806),东边老村,东边老村,46栋,46栋,,,8楼,8,806,806
华润银行龙华支行(龙华支行) (红山6979商业16栋华润银行龙华支行),华润银行龙华支行山6979,华润银行龙华支行(龙华支行) (红山6979商业16栋华润银行龙华支行),16栋,,,,,,,
景丰大厦 (3楼312),景丰大厦,景丰大厦,,,,,3楼,3,312,312
龙塘新村西区 (6巷二号69公寓402房),龙塘新村西区 (6巷二号),龙塘新村西区,,,,,4,4,402房,402房
幸福枫景 (大门口外卖架),幸福枫景 (大门口架),幸福枫景 ,,,,,,,外卖,
金地梅陇镇 (12栋4单元23b),金地梅陇镇,金地梅陇镇,1栋,12栋,4单元,4单元,223,23,b,b
鼎曦大厦-1号楼 (深圳市龙华区翠岭华庭1号楼鼎曦大厦b2401),深圳市龙华区翠岭华庭号楼鼎曦,深圳市龙华区翠岭华庭1号楼鼎曦大厦,b,1号楼,,,24,24,2401,2401
创世纪公寓 (3楼303),创世纪公寓,创世纪公寓 ,,,,,3楼,3,303,303
万科金域华府1期 (3栋3301),万科金域华府1期,万科金域华府1期,栋,3栋,,,333,33,3301,3301
悦龙华府2期 (8栋1单元1502),悦龙华府2期,悦龙华府2期 ,8栋,8栋,1单元,1单元,15,15,1502,1502
深圳坂田国际中心a栋美团外卖柜,深圳坂田国际中心,深圳坂田国际中心美团外卖柜,a栋,a栋,,,,,,
南贤商业广场b座商务楼-东北门 (8楼802a),南贤商业广场楼-东北门,南贤商业广场-东北门,b座,b座,,,8,8楼,802a,802a
祥昭大厦 (办公楼1204),祥昭大厦,祥昭大厦 ,,,,,12,12,1204,1204
皓月花园 (9栋2单元),皓月花园,皓月花园 ,9栋,9栋,2单元,2单元,,,,
远景大厦(洁玉街) (五楼),远景大厦(洁玉街),远景大厦(洁玉街) ,,,,,五楼,五楼,,
福满园 (101菜鸟驿站，菜鸟驿站里面的请直接放店里就好了),福满园菜,福满园 ,,,,,,1,101,101
东泉新村-43栋 (未来家5楼507),东泉新村,东泉新村,43栋,43栋,,,5,5楼,507,507
星河coco city(民治店) (星河盛世b6栋2单元1801),星河coco city(民治店),星河coco city(民治店) (星河盛世),b6栋,b6栋,2单元,2单元,18,18,1801,1801
永畅嘉2期 (杨美路13号车博士驾校对面),永畅嘉2期 (杨美路13号车博士驾校对面),永畅嘉2期 (杨美路13号),,,,,,,,
深圳市博多电子有限公司 (1楼前台),深圳市博多电子有限公司,深圳市博多电子有限公司,,,,,1,1楼,,
hellokitty(万科广场店) (3楼),hellokitty(万科广场店),hellokitty(万科广场店),,,,,3楼,3,,
木屋烧烤(中心城店) (木屋),木屋烧烤(中心城店) (木屋),木屋烧烤(中心城店) ,,,,,,,,
深圳香港培侨书院龙华信义学校 (請放學校鐵閘門桌上，拍照發信息，謝謝),深圳香港培侨书院龙华信义学校,深圳香港培侨书院龙华信义学校 (請放學校鐵閘門桌上，拍照發信息，謝謝),,,,,,,,
龙光·玖钻1a (423室),龙光·玖钻,龙光·玖钻,1a,1a,,,4,4,423,423室
西头瓜地新村-34号楼 (34-2),西头瓜地新村,西头瓜地新村,34号楼,34号楼,,,,,2,34-2
华晖瑞禧-2栋-c单元 (9层905),华晖瑞禧,华晖瑞禧,2栋,2栋,c单元,c单元,9层,9,905,905
圳宝工业区-4栋 (4),圳宝工业区,圳宝工业区,4栋,栋,,,,,,4
万科星火online (7栋219室),万科星火online,万科星火online,7栋,7栋,,,2,2,219室,219
光雅园2区3号 (201),光雅园区号,光雅园区3号 ,,,,,23,2,201,201
杨美地铁站-b口 (侨联东村六巷11号1105),杨美地铁站-b口 (侨联东村六巷11号),杨美地铁站-b口 (侨联东村六巷号),,,,,,11,1105,1105
五和大楼 (7楼705号悠游途),五和大楼,五和大楼 ,,,,,7,7楼,705号,705号
太阳雨家园-1号楼 (1栋b座12b 放门口鞋柜上不用按门铃和打电话),太阳雨家园,太阳雨家园,1栋b座,1栋,,座,12,12,,b
深圳市八达仓物流有限公司 (保税物流运行中心一楼大厅),深圳市八达仓物流有限公司 (保税物流运行中心),深圳市八达仓物流有限公司 (保税物流运行中心一楼大厅),,,,,一,,,
第五园四期-4号楼 (4栋1404),第五园四期,第五园四期,4栋,4号楼,,,14,14,1404,1404
智慧谷创新广场 (智慧谷创新广场418(康晟芯科技)(不是418ｂ)),智慧谷创新广场,智慧谷创新广场(康晟芯科技),,,,,4,4,418,418
华业玫瑰四季2 (2栋2a),华业玫瑰四季,华业玫瑰四季,2栋,2栋,,,,2,a,a
鸿荣源尚峻(建设中) (二期5栋1303),鸿荣源尚峻(建设中) (二期),鸿荣源尚峻(建设中)二期,5栋,5栋,,,13,13,1303,1303
湾畔mall (l1 勇士拓展乐园 在麦当劳旁边),湾畔mall (l1 勇士拓展乐园 在麦当劳旁边),湾畔mall,,,,,,1,,
特发·和平里2期 (芙蓉阁2203),特发·和平里2期 ),特发·和平里2期 (芙蓉阁),,,,,22,22,2203,2203
星河world·cocopark (一点点奶茶店),星河world·cocopark,星河world·cocopark (一点点奶茶店),,,,,,,,
溪山美地园 (12栋a单元9楼a),溪山美地园,溪山美地园,12栋,12栋,a单元,单元,9楼,9,,a
民营住宅区三巷-1号楼 (天鸿公寓b栋304房),民营住宅区三巷1号(天鸿公寓),民营住宅区三巷,b栋,b栋,,,3,3,304房,304房
阳光第五季 (爱莲阁二单元2d),阳光第五季 (爱莲阁),阳光第五季 (爱莲阁),二单元,,,二单元,2,2,d,d
南坑社区服务大厅 (南坑老村五巷3号501),南坑社区服务大厅 南坑老村五巷3号),南坑社区服务大厅,,,,,5,5,501,501
星河worldc座 (20层),星河world,星河world,c座,c座,,,20,20层,,
祥昭大厦 (祥昭大厦对面综合楼807),祥昭大厦,祥昭大厦对面综合楼,,,,,8,8,807,807
星光之约花园 (麒麟西一巷九号楼下),星光之约花园 (麒麟西一巷下),星光之约花园 (麒麟西一巷九号楼下),九号楼,,,,,,,
悦龙华府二期 (悦龙华府二期),悦龙华府二期 ,悦龙华府二期,,,,,,,,
华侨城创想大厦 (写字楼37层),华侨城创想大厦 (写字楼),华侨城创想大厦,,写字楼,,,37层,37层,,
星河worldtowerb (星河world b座25楼2502室bizbee公司),星河worldtower,星河worldtower,b座,b座,,,25楼,25,2502室,2502
龙兴楼 (龙兴楼202),龙兴楼,龙兴楼 ,,,,,2,2,202,202
上早新村社区-b30栋 (0601),上早新村社区,上早新村社区,b30栋,b30栋,,,06,6,0601,601
梅花山庄 (欣梅园f7栋),梅花山庄 (欣梅园),梅花山庄,f7栋,f7,,,,,,
光浩国际中心-a座 (19层),光浩国际中心,光浩国际中心,a座,a座,,,19层,19,,
安宏基天曜广场-a栋 (宏基天曜广场a座32层),安宏基天曜广场,安宏基天曜广场,a栋,a栋,,,32层,32,,
野萃山·分子果汁(龙华天虹店) (自取),野萃山·分子果汁(龙华天虹店) (自取),野萃山·分子果汁(龙华天虹店) ,,,,,,,,
韩牛匠炭火烤肉(五和店) (2楼),韩牛匠炭火烤肉(五和店),韩牛匠炭火烤肉(五和店) ,,,,,2楼,2楼,,
悦龙华府2期 (8栋1单元1502),悦龙华府2期,悦龙华府2期 ,8栋,8栋,1单元,1单元,15,15,1502,1502
向南三区-38栋 (308),向南三区,向南三区,8栋,8栋,,,3,3,308,308
星河world-g座 (6楼),星河world,星河world,g座,g座,,,6楼,6,,
润达圆庭 (2楼童程童美),润达圆庭,润达圆庭 ,,,,,2,2楼,,
华侨城北站壹号-壹号 (深圳市大湾区金融研究院-北站壹号37楼),华侨城北站壹号深圳市大湾区金融研究院-北站壹号,华侨城北站壹号,,,,,37楼,37,,
坂田国际中心-c2栋 (10楼),坂田国际中心,坂田国际中心,c2栋,c2栋,,,10楼,10,,
新翠雅苑 (4d1104),新翠雅苑,新翠雅苑,4d,4,,d,11,11,1104,1104
溪山美地 (溪山美地14栋b座11ab),山美地,溪山美地,14栋b座,14栋b座,,,11,11,ab,ab
星河world-f座 ((不要放外卖柜)),星河world,星河world,f座,f座,,,,,外卖柜,
坂田创意产业园y1栋 (1层13号(凌昱微)),坂田创意产业园,坂田创意产业园,y1栋,y栋,,,1层,1,13号,13
铂乐公寓(雅园店) (601室),铂乐公寓(雅园店),铂乐公寓(雅园店),,,,,6,6,601,601室
学府道花园 (学府道花园北门133-19号铺),学府道花园 府道花园北门133-19号铺,学府道花园 (学府道花园北门133-19号铺),,,,,,,,
溪山美地 (12栋b座21ab),溪山美地,溪山美地,12栋座,12栋b座,,,21,21,bab,ab
星河丹堤e区 (e2-1栋802),星河丹堤e区,星河丹堤e区,21栋,e2-1栋,,,8,8,802,802
壹间公寓·坂田嘉御山 (12栋2309  (请帮忙直接放门口就好，谢谢)),壹间公寓·坂田嘉御山,壹间公寓·坂田嘉御山 ,12栋,12栋,,,23,23,2309,2309
鸿荣源·尚峻 (2期 4栋 2401室),鸿荣源·尚峻,鸿荣源·尚峻,栋,4栋,,,4,24,2401室,2401室
深圳港龙妇产医院 (3a22),深圳港龙妇产医院,深圳港龙妇产医院,3,,a,,2,,2,3a22
风临域(东南门) (龙岗区吉祥南路50号风临域1栋b座904),龙岗区吉祥南路50号风临域,风临域(东南门) ,1栋b座,1栋b座,,,9,9,904,904
万科星火天璇仓 (7栋228号),万科星火天璇仓,万科星火天璇仓,7栋,7栋,,,2,2,228,228号
思考乐教育(龙岗中心城分校) (莘华培育基地b座思考乐升学),思考乐教育(龙岗中心城分校) (莘华培育基地),思考乐教育(龙岗中心城分校) (莘华培育基地思考乐升学),b座,b座,,,,,,
星河领创天下 (星河领创天下二期[UNK] 党群服务中心), (星河领创天下二期[UNK] 党群服务中心),星河领创天下二期,,,,,,,,
龙胜时代大厦 (写字楼1007b),龙胜时代大厦 (写字楼),龙胜时代大厦,,,,,10,10,1007b,1007b
岗贝村办公楼 (岗树八巷一号206),岗贝村办公楼 (岗树八巷一号),岗贝村办公楼,,一号,,,2,2,206,206
万象天成-1栋 (天成广场2楼a06),万象天成,万象天成,1栋,1栋,,,2楼,2,a06,a06
安鸿基天耀大厦停车场入口美团外卖柜,安鸿基天耀大厦停车场入口美团,安鸿基天耀大厦停车场入口美团外卖柜,,,,,,,外卖柜,
光浩国际中心-b栋 (303慕义口腔(从光浩侧门光浩健康水会上三楼！),光浩国际中心,光浩国际中心,b栋,b栋,,,3三楼,3,303,303
动车国际大厦 (5楼 503),动车国际大厦,动车国际大厦,,,,,5楼,5,503,503
中航天逸-b2栋 (中航天逸b2栋 2606放门口发图就行),中航天逸,中航天逸,b2栋,b2栋 ,,,26,26,2606,2606
星河盛世 (a3栋1单元603房),星河盛世,星河盛世,a3栋,a3栋,1单元,1单元,6,6,603房,603
五和地铁站-h口 (五和地铁站h出口),五和地铁站-h口 (五和地铁站h出口),五和地铁站-h口,,,,,,,,
桐南美麓 (奉贤区庆园路189弄桐南美麓小区70号楼103室),奉贤区庆园路189弄桐南美麓小区,桐南美麓 (奉贤区庆园路89弄桐南美麓小区),70号楼,70号楼,,,,1,103室,103
锦绣科学园-11栋 (4楼411),锦绣科学园,锦绣科学园,11栋,,,,4楼,4,411,411
维也纳国际酒店·深圳北站店 (339),维也纳国际酒店·深圳北站店,维也纳国际酒店·深圳北站店 ,,,,,3,3,339,339
万科翰邻城 (a区2栋a座28a),万科翰邻城 (a区),万科翰邻城区,2栋,2栋a座,,,28,28,a座,a
秋月朗庭尚东区-26号楼 (德泉路储家路口尚东朗庭26号501室),秋月朗庭尚东区,秋月朗庭尚东区,26号楼,26号楼,,,5,5,501室,501
民乐新村2-1 (402),民乐新村,民乐新村2-1,,,,,4,4,402,402
星河world·银湖谷-9号楼 (9栋1楼物业服务中心),星河world·银湖谷,星河world·银湖谷,9栋,9栋,,,1,1楼,,
9号花园私房菜(万科星火online店) (9栋9号花园餐厅隔壁-燃点文化),9号花园私房菜(万科星火online店),9号花园私房菜(万科星火online店) ,9栋,9栋,,,,,,
深国际万科和风轩(建设中) (1栋g座1210),深国际万科和风轩(建设中),深国际万科和风轩(建设中) ,1栋g座,1栋g座,,,12,12,1210,1210
春华四季园二期-27号楼 (春华四季园27栋2单元13c),春华四季园二期,春华四季园二期,727栋,27栋,2单元,2单元,13,13,c,c
潜龙鑫茂花园 (b区b1栋2单元8楼8e),潜龙鑫茂花园 (b区),潜龙鑫茂花园,b1栋,b1栋,2单元,2单元,8楼,8楼,e,e
华业玫瑰四季 (1期1栋1座1单元32b),华业玫瑰四季1,华业玫瑰四季,1栋1座,1栋1座,1单元,1单元,32,32,b,b
大布巷统建楼-1号楼 (1栋13c),大布巷统建楼楼,大布巷统建楼,1栋,1号楼,,,13,13,c,c
华侨城北站壹号 (北站一号),华侨城北站壹号 ,华侨城北站壹号 (北站一号),,,,,,,,
宝龙小区(鹏达路) (宝龙东四巷1号),宝龙小区(鹏达路) (宝龙东四巷1号),宝龙小区(鹏达路) (宝龙东四巷),,1号,,,,,,
昆季酒店(五和地铁站店) (311),昆季酒店(五和地铁站店),昆季酒店(五和地铁站店) ,,,,,3,3,311,311
淘港商贸行(星光之约花园店) (就在门口),淘港商贸行(星光之约花园店) (就在门口),淘港商贸行(星光之约花园店),,,,,,,,
星河传奇铂寓 (星河传奇三期a座1101),传奇铂寓星河传奇三期,星河传奇铂寓三期,a座,a座,,,11,11,1101,1101
鼎威自动变速箱维修养护中心 (华夏楼603号),鼎威自动变速箱维修养护中心,鼎威自动变速箱维修养护中心,楼,,,,6,6,603号,603
逸秀居公寓 (56栋我家有菜楼上a306),逸秀居公寓,逸秀居公寓,56栋,56栋,a,,3,,306,a306
万科天誉中央广场停车场 (万科天誉花园一期商铺124-131号农村商业银行),万科天誉中央广场停车场万科天誉花园一期,万科天誉中央广场停车场 ,,,,,,,124-131号,
圆·公寓(深圳北站店) (圆公寓a栋922),圆·公寓(深圳北站店),圆·公寓(深圳北站店) ,a栋,a栋,,,9,9,922,922
足之行养生坊 (发现美公寓302(电梯可上2楼，走一层楼梯达三楼)),足之行养生坊 (发现美公寓),足之行养生坊,,,,,32楼三楼,3,302,302
星河world银湖谷-9号楼 (坂田街道银湖谷9栋1楼财务室),星河world银湖谷,星河world银湖谷,9栋,9号楼,,,1楼,1,,
天健花园23栋 (2单元104室),天健花园,天健花园,23栋,23栋,2单元,2单元,1,1,104室,104
龙岸花园-12栋 (12d),龙岸花园,龙岸花园,栋,栋,,,122,12,d,d
和勘工业区 (b2栋3楼诺迪森科技有限公司),和勘工业区,和勘工业区 ,b2栋,b2栋,,,3楼,3楼,,
星河world-f座 (2601-j11),星河world,星河world,f座,f座,,,26,26,2601-1,2601-j11
金皇大酒店-1号楼 (8736),金皇大酒店,金皇大酒店,1号楼,1号楼,,,87,7,8736,8736
春华四季园二期-27号楼 (二单元1d),春华四季园二期,春华四季园二期,27号楼,7号楼,二单元,2,1,1,d,d
壹成中心璞誉府-1号楼 (一栋1201),壹成中心璞誉府,壹成中心璞誉府,号楼一栋,一栋,,,12,12,1201,1201
深圳远景大厦美团外卖柜,深圳远景大厦美团外,深圳远景大厦美团外卖柜,,,,,,,卖柜,
安鸿基天耀大厦停车场入口美团外卖柜,安鸿基天耀大厦停车场入口美团,安鸿基天耀大厦停车场入口美团外卖柜,,,,,,,外卖柜,
深圳市梅花山庄西区-f6栋别墅,深圳市梅花山庄西区,深圳市梅花山庄西区,f6栋,f6,,,,,,
深圳市柠檬树科技有限公司 (水库路2号1栋三楼鑫基汇),深圳市柠檬树科技有限公司 (水库2号),深圳市柠檬树科技有限公司,1栋,1栋,,,三楼,三楼,,
深圳细刻网络科技有限公司 (3楼),深圳细刻网络科技有限公司,深圳细刻网络科技有限公司,,,,,3楼,3,,
广东中熙(龙华)律师事务所 (21层),广东中熙(龙华)律师事务所,广东中熙(龙华)律师事务所,,,,,21层,21,,
天景山庄西-27栋 (201),天景山庄西,天景山庄西,7栋,7栋,,,2,2,201,201
仁恒四季园 (1b2604),仁恒四季园,仁恒四季园,1b,1b,,,26,6,2604,2604
龙光·玖龙玺-b栋 (b栋5楼a室),龙光·玖龙玺,龙光·玖龙玺,b栋,b栋,,,5楼,5,a室,a室
星河world-d座 (d座19),星河world,星河world,d座,d座,,,1,,19,19
博士园毛发健康中心(中央原著店) (藏珑苑27号商铺),博士园毛发健康中心(中央原著店),博士园毛发健康中心(中央原著店),,,,,,,27号,27
